date,beta1,beta2,beta3,beta4,beta5,r_squared,rmse
2020-08-31,0.2775697682177246,-0.12088244361205723,0.22853390517107144,-0.037152453107837255,-0.015052965665868306,0.9525420826077564,0.03755932503059038
2020-09-01,0.297793678857906,-0.17639618204890536,0.23937547387454877,-0.01771265071876327,-0.038439684481810184,0.9364048918967569,0.03793999602729376
2020-09-02,0.2998692132185388,-0.15468681063309714,0.2418400473976626,-0.016445301238825018,-0.03493239754313728,0.964216695964993,0.030112110098494592
2020-09-03,0.2902384987781277,-0.045213637393212276,0.24292180343809552,-0.020530367218516088,-0.014079264955296539,0.9720477688438383,0.027883568413695006
2020-09-04,0.287308996679058,-0.0724319856426987,0.2069839256517759,-0.031965594422833976,-0.013615271092897167,0.9544422065432432,0.03321113185092721
2020-09-08,0.2603362888451773,0.01356143066978377,0.21443665887308674,-0.029015227953191388,-0.009102432883803115,0.9639975163074539,0.030361168627597163
2020-09-09,0.2721577598188385,-0.05744703128697784,0.19900501191505535,-0.029869146062724696,-0.01724595303430097,0.9557434803267219,0.0324758466811536
2020-09-10,0.26003545191484256,-0.004654611319700505,0.21674224457731858,-0.02440574213478708,-0.009748110837040452,0.9673113819744644,0.02819058645661072
2020-09-11,0.2658518455874744,-0.06091808064175347,0.2401282223642149,-0.005153639811636751,-0.021019569769505038,0.9638831837370245,0.027156334521750244
2020-09-14,0.26639066996003724,-0.08150843149587325,0.23064657744607917,-0.014451744904201471,-0.02233345195923207,0.9661382154757295,0.025699991163879252
2020-09-15,0.2749514375427294,-0.10412688642433944,0.21644432295348065,-0.01743106877827705,-0.02440536757996977,0.9532590054920895,0.029257594002325592
2020-09-16,0.26788803479592194,-0.08409090213737819,0.23562230600525869,-0.013088284747362195,-0.021256190162288278,0.9723296622758967,0.024065811784214904
2020-09-17,0.2701651551298743,-0.07814421960194193,0.24320537242057094,-0.00410375047703602,-0.022424998203475873,0.9781488870618011,0.0213757026897557
2020-09-18,0.2743166676075959,-0.10061904638971497,0.23790585026663855,-0.006045023490066465,-0.027564508714657546,0.9660199180038489,0.024709495730439842
2020-09-21,0.27451938460920705,-0.06972010913722804,0.22469514841810728,-0.008845049656759576,-0.023587591733509133,0.9539527215297576,0.027880911341352767
2020-09-22,0.28136446083643996,-0.09134062506875741,0.23693175637114655,-0.001343937743341793,-0.025429651946593856,0.9610146063104108,0.025806648172068455
2020-09-23,0.29133701345443874,-0.0857001079417958,0.16111394961139763,-0.04580442585909721,-0.009427869106053288,0.8984882229364095,0.04189556925687487
2020-09-24,0.28674366699034626,-0.07606417237943094,0.18664098319848066,-0.031556295324932274,-0.013061074390435188,0.9386264507588471,0.03201748762316155
2020-09-25,0.2929674302746455,-0.12486600684398232,0.1735020444426286,-0.0397897524861873,-0.01539664303914924,0.9125550223464086,0.03645211493463963
2020-09-28,0.285306525302769,-0.10141137318260161,0.21465131719487526,-0.015700966234227468,-0.024307030442514713,0.9388729801528342,0.03140433188273382
2020-09-29,0.2699734830919424,-0.056453036561417654,0.2253255425682696,-0.01043377661584381,-0.019171541401675568,0.963996370532635,0.02508417165707037
2020-09-30,0.26805859550596545,-0.05569078931956129,0.20922726458558938,-0.02497108262123261,-0.01599596423606848,0.9243488559281233,0.03733783135688729
2020-10-01,0.2793279853245906,-0.0763240380353726,0.2545548949991175,0.014886118932764775,-0.03506317263488513,0.9510218538123479,0.02528276397180529
2020-10-02,0.2850853323505397,-0.07995687837881806,0.24251157127127299,0.004142578392508994,-0.024212054828296005,0.9506229380710388,0.02787370616026005
2020-10-05,0.2869695678266312,-0.10211462297811513,0.23126601906922303,0.0024088335671696784,-0.031005866205581704,0.9240632481170445,0.03188127142887749
2020-10-06,0.2759431658148113,-0.059566999341520384,0.21984399865932125,-0.013290297290514721,-0.016636722547291167,0.9448442219743968,0.03084151682393529
2020-10-07,0.2785513389477358,-0.0981885149300055,0.24556052681120663,0.003930760284316217,-0.029233475033031555,0.947338923458109,0.028544962054920367
2020-10-08,0.2736201628717827,-0.11057888739699917,0.2538064552862057,0.008067293460619481,-0.03039567451571889,0.957724283702457,0.024909713572774682
2020-10-09,0.26998783565870194,-0.1352726362570661,0.24364330088193337,-0.001146141790374433,-0.03470106992146554,0.9494020696095281,0.027977515350107826
2020-10-12,0.25433899928296905,-0.08972749093342644,0.265966481914533,0.007244193806403145,-0.0317112105750557,0.970459885605178,0.021751421208150774
2020-10-13,0.25170462702927265,-0.07184335482751035,0.24842888253841397,-0.007838873779230572,-0.02284657547996551,0.963669963530937,0.02650463027806594
2020-10-14,0.24946725024424668,-0.06180659375059794,0.24327147520776185,-0.005530685457521551,-0.020752877583268284,0.960339149646375,0.026392127106470407
2020-10-15,0.26334653294906035,-0.09198853889109601,0.22646686487547102,-0.012330571189828296,-0.030642040305545716,0.9279954746162151,0.0349852390008294
2020-10-16,0.2550630242797166,-0.06488301722271826,0.2522190059636679,0.0004741331537267182,-0.025226376903944237,0.9578743780677842,0.026425609702509324
2020-10-19,0.25877941186751785,-0.033695571764269135,0.23160119619888228,-0.007990437172919914,-0.022668952628068752,0.9418173450355728,0.029897160037885027
2020-10-20,0.24758513226456144,-0.004038119614277774,0.24336912999514854,-0.0036041183840596572,-0.021083921757535536,0.9536340944330626,0.02786824234002081
2020-10-21,0.2477043249294401,-0.011830387882250909,0.2505102289552368,0.0010706139281488538,-0.019103316479353896,0.9672411993924191,0.024028488028053973
2020-10-22,0.2455170504343557,-0.02101069177997092,0.2557424449813474,0.00744278631087976,-0.02945256792612249,0.9531795298250556,0.02706931611311628
2020-10-23,0.24666833865652377,-0.03178674869022499,0.2576144598600721,0.0069457062058902045,-0.02363224658867433,0.9637296747343261,0.025470245085029382
2020-10-26,0.23500676911578128,0.08307177181095705,0.23850895018460558,-0.002266034733318803,-0.014678995926837432,0.962204374937941,0.02668281528674167
2020-10-27,0.22961062917347128,0.1035549601487652,0.23488821262287124,-0.007685549919363495,-0.009302572223550003,0.9711474034220255,0.024000187981577922
2020-10-28,0.22830798914617473,0.22629918729630522,0.21749662483959045,-0.02220198092600818,0.005419351170038416,0.9641712331525943,0.028356120756809496
2020-10-29,0.22447600012256907,0.17084661578521196,0.22857996023433122,-0.02001353763246184,0.0012314440527236013,0.9698724133862463,0.026261347393303186
2020-10-30,0.2417642109105725,0.15269080774504995,0.18333016332324656,-0.03826883588744418,0.005931110547425125,0.9435213516397595,0.0347468148316533
2020-11-02,0.22645031587097386,0.1525971170781529,0.2295382195568577,-0.019445806348147687,-0.00857133747777646,0.9656464263403388,0.028111908350323515
2020-11-03,0.22052350444458949,0.12661302944189165,0.23254600423446176,-0.016993248387541172,-0.014823900857526221,0.9723859622952333,0.024684167395569598
2020-11-04,0.23774736931138635,0.014581130514741691,0.20530745461424146,-0.028276305705136964,-0.017411914178276252,0.9456961056453816,0.03368569454844889
2020-11-05,0.252776356480031,-0.043675097647255204,0.1890430860111303,-0.03608633403723421,-0.02660589681619436,0.9137554367328375,0.04098546956354557
2020-11-06,0.24269967748851398,-0.05187873072662717,0.2520300308780964,0.0036379971501050777,-0.025533381188537502,0.9763990381546357,0.020284572926071418
2020-11-09,0.2267959539712231,-0.015469802971875349,0.2156407815410298,-0.02483061424650651,-0.015305286685832436,0.9686850973723067,0.026391544135144447
2020-11-10,0.2344356932115008,-0.04274838074062509,0.22602740232209323,-0.013221454913571474,-0.02061119833183772,0.9764893550335856,0.022227861054235357
2020-11-11,0.250032736102744,-0.11215456950147747,0.17256243494054305,-0.044749529512201146,-0.02591450325341963,0.9306981393982279,0.03660157310109051
2020-11-12,0.24492339524247786,-0.06382860940362581,0.19937500830184876,-0.03212331268497145,-0.0170384874525436,0.9659695900752645,0.028031344983747278
2020-11-13,0.24273595159043312,-0.09329966886792067,0.18664807927113597,-0.04046632104491628,-0.022101089120638844,0.9430763951816306,0.033930186922827545
2020-11-16,0.2540940179786672,-0.13053535299408978,0.20061545196418243,-0.026517435492829967,-0.03879011202295798,0.9323067870359889,0.03276010505416358
